@@,item,itemlabel,startdate,enddate
+++,Q5709957,Astrid Fischel Volio,1998,2002
+++,Q456141,Elizabeth Odio Benito,1998,2002
+++,Q6700592,Luis Fishman Zonzinski,2002,2006
+++,Q5976724,Lineth Saborío Chaverri,2002,2006
+++,Q6395995,Kevin Casas Zamora,2006,2010
+++,Q57321,Laura Chinchilla Miranda,2006,2010
+++,Q4721942,Alfio Piva Mesén,2010,2014
+++,Q2072531,Luis Liberman Ginsburg,2010,2014
+++,Q15980311,Ana Helena Chacón Echeverría,2014,2018
+++,Q15980216,Helio Fallas Venegas,2014,2018
+++,Q51540879,Marvin Rodríguez Cordero,2018,2022
->,Q5384033,Epsy Campbell Barr,2018-05-08,NULL->2022
+++,Q111677386,Stephan Brunner Neibig,2022,
+++,Q111524163,Mary Munive Angermüller,2022,
